"SERIAL 
NUMBER",BANK NAME,BANK ID,BRANCH NAME,BRANCH ADDRESS,MAP COORDINATES,BRANCH POPULATION,POPULATION RATIO,YEAR,REVENUE,EXPENSE,PROFIT,BRANCH CODE,DIVISION NAME,DISTRICT NAME,THANA NAME
1,AGRANI BANK PLC,11,BANDARBAN,"Bandarban Bazar, Bandarban Sadar, Bandarban","22.19705835921985, 92.21739563902193",88282,0.31%,2023,49210166.91,38655460.02,424650.01,110001,CHATTOGRAM,BANDARBAN,BANDARBAN SADAR
2,AGRANI BANK PLC,11,MEDICAL COLLEGE,"Tomchon Bridge, Comilla Medical College, Cumilla","23.452577976390913, 91.19559055793324",30993,0.11%,2023,17276323.81,13570859.16,149082.83,110002,CHATTOGRAM,CUMILLA,KOTWALI_CUMILLA
3,AGRANI BANK PLC,11,KACHUA BAZAR,"Kachua, Chandpur","23.34319305635428, 90.89675806098022",382139,1.35%,2023,213011984,167324696.3,1838147.44,110003,CHATTOGRAM,CHANDPUR,KACHUA
4,AGRANI BANK PLC,11,SHIBPUR,"Nabinagar, Brahmanbaria 3410","23.843467767287127, 91.0378826545023",108574,0.38%,2023,60521314.57,47540567.39,522257.47,110004,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
5,AGRANI BANK PLC,11,CHATORI CHOWMUHUNI,"Hajirhat, Jeori, Anwara, Chittagong 4376","22.255398473559847, 91.86720087422593",46624,0.16%,2023,25989135.42,20414927.41,224268.43,110005,CHATTOGRAM,CHATTOGRAM,ANWARA
6,AGRANI BANK PLC,11,BANGURA BAZAR,"Nabinagar, Brahmanbaria 3410","23.874411621946578, 91.036168596758",74028,0.26%,2023,41264532.66,32414023.22,356084.64,110006,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
7,AGRANI BANK PLC,11,BITGHAR,"Nabinagar, Brahmanbaria 3410","23.83987292777118, 91.03788521055506",88833,0.31%,2023,49517439.2,38896827.86,427301.56,110007,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
8,AGRANI BANK PLC,11,BRAHMANBARIA,"Court Road, Brahmanbaria 3400","23.97499540935636, 91.10976409348875",234897,0.83%,2023,130936491.5,102852939.3,1129892.18,110008,CHATTOGRAM,BRAHMANBARIA,BRAHMANBARIA SADAR
9,AGRANI BANK PLC,11,LALPUR BAZAR,"Ashugaj Bazar, Brahmanbaria 3402","24.047124488843806, 91.00893962213064",113812,0.40%,2023,63441114.84,49834122.35,547453.34,110010,CHATTOGRAM,BRAHMANBARIA,ASHUGANJ
10,AGRANI BANK PLC,11,NABINAGAR,"Nabinagar, Brahmanbaria 3410","23.851689308090105, 90.84530579161542",493518,1.74%,2023,275096884.4,216093488.1,2373897.58,110011,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
